date,steps,distance,runDistance,calories
2022-02-18,8746,6200,390,204
2022-02-19,32209,24376,608,855
2022-02-20,15519,11188,268,385
2022-02-21,13447,9876,289,343
2022-02-22,17194,12708,375,432
2022-02-23,18462,13618,398,468
2022-02-24,7893,5775,213,190
2022-02-25,11790,8498,174,294
2022-02-26,0,0,0,0
2022-02-27,0,0,0,0
2022-02-28,0,0,0,0
2022-03-01,0,0,0,0
2022-03-02,0,0,0,0
2022-03-03,0,0,0,0
2022-03-04,0,0,0,0
2022-03-05,0,0,0,0
2022-03-06,0,0,0,0
2022-03-07,0,0,0,0
2022-03-08,0,0,0,0
2022-03-09,0,0,0,0
2022-03-10,0,0,0,0
2022-03-11,0,0,0,0
2022-03-12,1012,689,87,23
2022-03-13,19064,13857,395,452
2022-03-14,11715,8494,440,282
2022-03-15,16494,12870,524,441
2022-03-16,15170,11072,181,382
2022-03-17,13223,9925,326,334
2022-03-18,12730,9278,266,318
2022-03-19,14991,10979,302,377
2022-03-20,14031,10247,261,342
2022-03-21,14812,10623,294,352
2022-03-22,5857,4203,215,146
2022-03-23,18134,13157,333,444
2022-03-24,15594,11701,275,389
2022-03-25,13406,9992,211,344
2022-03-26,12162,8929,298,306
2022-03-27,11079,8199,305,274
2022-03-28,4668,3351,144,115
2022-03-29,6702,4811,277,158
2022-03-30,8840,6675,128,226
2022-03-31,13272,9759,261,330
2022-04-01,23914,17385,581,589
2022-04-02,20214,15136,303,511
2022-04-03,11449,8496,267,288
2022-04-04,14282,10244,286,343
2022-04-05,8783,6475,259,213
2022-04-06,16822,12002,87,415
2022-04-07,13166,9912,246,336
2022-04-08,9519,7102,247,238
2022-04-09,14717,10735,368,364
2022-04-10,19392,14476,343,494
2022-04-11,14908,10586,339,365
2022-04-12,13847,10227,300,354
2022-04-13,6240,4613,243,160
2022-04-14,13814,10428,305,363
2022-04-15,6605,4816,94,159
2022-04-16,16814,12645,113,429
2022-04-17,5200,3942,121,132
2022-04-18,4865,3501,266,108
2022-04-19,13506,9996,268,340
2022-04-20,3373,2317,161,75
2022-04-21,24830,18909,528,646
2022-04-22,18061,13492,362,453
2022-04-23,13407,9702,429,320
2022-04-24,17413,12875,681,429
2022-04-25,12919,9473,402,325
2022-04-26,6678,4685,229,154
2022-04-27,20146,14491,349,484
2022-04-28,16318,12214,294,418
2022-04-29,3845,2641,330,93
2022-04-30,15327,11551,312,394
2022-05-01,10336,7534,294,258
2022-05-02,20867,14868,519,512
