start,stop,deepSleepTime,shallowSleepTime,REMTime,wakeTime,totalSleepTime,,,,,,,,,
2022-02-01 02:45:00+0000,2022-02-01 09:01:00+0000,37,277,51,11,365,,,,,,,,,
2022-02-02 01:40:00+0000,2022-02-02 09:22:00+0000,58,329,72,3,459,,,,,,,,,
2022-02-03 02:51:00+0000,2022-02-03 09:00:00+0000,72,234,63,0,369,,,,,,,,,
2022-02-04 02:03:00+0000,2022-02-04 09:38:00+0000,94,263,87,11,444,,,,,,,,,
2022-02-05 02:00:00+0000,2022-02-05 10:04:00+0000,64,348,72,0,484,,,,,,,,,
2022-02-04 23:00:00+0000,2022-02-04 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-07 00:48:00+0000,2022-02-07 09:04:00+0000,81,321,94,0,496,,,,,,,,,
2022-02-08 01:43:00+0000,2022-02-08 10:02:00+0000,85,336,78,0,499,,,,,,,,,
2022-02-07 23:00:00+0000,2022-02-07 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-08 23:00:00+0000,2022-02-08 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-09 23:00:00+0000,2022-02-09 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-10 23:00:00+0000,2022-02-10 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-11 23:00:00+0000,2022-02-11 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-12 23:00:00+0000,2022-02-12 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-13 23:00:00+0000,2022-02-13 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-14 23:00:00+0000,2022-02-14 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-15 23:00:00+0000,2022-02-15 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-16 23:00:00+0000,2022-02-16 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-17 23:00:00+0000,2022-02-17 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-18 23:00:00+0000,2022-02-18 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-19 23:00:00+0000,2022-02-19 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-20 23:00:00+0000,2022-02-20 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-21 23:00:00+0000,2022-02-21 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-23 23:44:00+0000,2022-02-24 08:57:00+0000,97,337,118,1,552,,,,,,,,,
2022-02-23 23:00:00+0000,2022-02-23 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-02-25 21:39:00+0000,2022-02-26 09:15:00+0000,94,428,162,12,684,,,,,,,,,
2022-02-27 00:15:00+0000,2022-02-27 07:47:00+0000,26,338,78,10,442,,,,,,,,,
2022-02-27 23:38:00+0000,2022-02-28 07:38:00+0000,62,353,64,1,479,,,,,,,,,
2022-03-01 00:44:00+0000,2022-03-01 07:30:00+0000,76,230,100,0,406,,,,,,,,,
2022-03-01 23:38:00+0000,2022-03-02 06:30:00+0000,86,253,64,9,403,,,,,,,,,
2022-03-02 23:59:00+0000,2022-03-03 09:02:00+0000,94,331,113,5,538,,,,,,,,,
2022-03-03 23:45:00+0000,2022-03-04 08:32:00+0000,99,320,80,28,499,,,,,,,,,
2022-03-05 01:44:00+0000,2022-03-05 09:04:00+0000,65,266,109,0,440,,,,,,,,,
2022-03-04 23:00:00+0000,2022-03-04 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-03-05 23:00:00+0000,2022-03-05 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-03-06 23:00:00+0000,2022-03-06 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-03-08 23:32:00+0000,2022-03-09 06:33:00+0000,35,326,53,7,414,,,,,,,,,
2022-03-09 21:29:00+0000,2022-03-10 08:24:00+0000,32,392,146,85,570,,,,,,,,,
2022-03-11 00:48:00+0000,2022-03-11 04:06:00+0000,25,129,44,0,198,,,,,,,,,
2022-03-12 00:31:00+0000,2022-03-12 09:46:00+0000,84,247,118,106,449,,,,,,,,,
2022-03-11 23:00:00+0000,2022-03-11 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-03-14 06:55:00+0000,2022-03-14 08:47:00+0000,0,112,0,0,112,,,,,,,,,
2022-03-15 05:41:00+0000,2022-03-15 06:18:00+0000,0,31,6,0,37,,,,,,,,,
2022-03-15 22:43:00+0000,2022-03-16 06:30:00+0000,83,307,68,9,458,,,,,,,,,
2022-03-17 00:33:00+0000,2022-03-17 02:16:00+0000,17,59,22,5,98,,,,,,,,,
2022-03-17 23:46:00+0000,2022-03-18 08:01:00+0000,83,290,113,9,486,,,,,,,,,
2022-03-18 23:58:00+0000,2022-03-19 08:55:00+0000,69,349,117,2,535,,,,,,,,,
2022-03-19 23:33:00+0000,2022-03-20 09:19:00+0000,75,423,86,2,584,,,,,,,,,
2022-03-19 23:00:00+0000,2022-03-19 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-03-20 23:00:00+0000,2022-03-20 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-03-23 00:12:00+0000,2022-03-23 08:46:00+0000,99,291,124,0,514,,,,,,,,,
2022-03-24 00:05:00+0000,2022-03-24 09:02:00+0000,50,420,67,0,537,,,,,,,,,
2022-03-23 23:00:00+0000,2022-03-23 23:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-03-25 23:20:00+0000,2022-03-26 09:43:00+0000,94,431,97,1,622,,,,,,,,,
2022-03-27 00:05:00+0000,2022-03-27 08:29:00+0000,110,244,90,60,444,,,,,,,,,
2022-03-27 22:12:00+0000,2022-03-28 07:17:00+0000,109,273,134,29,516,,,,,,,,,
2022-03-28 22:53:00+0000,2022-03-29 07:58:00+0000,56,383,105,1,544,,,,,,,,,
2022-03-29 22:05:00+0000,2022-03-30 05:39:00+0000,87,285,78,4,450,,,,,,,,,
2022-03-29 22:00:00+0000,2022-03-29 22:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-03-30 22:00:00+0000,2022-03-30 22:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-03-31 22:00:00+0000,2022-03-31 22:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-04-01 22:00:00+0000,2022-04-01 22:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-04-03 22:28:00+0000,2022-04-04 07:00:00+0000,94,308,96,14,498,,,,,,,,,
2022-04-04 22:05:00+0000,2022-04-05 08:17:00+0000,95,325,149,43,569,,,,,,,,,
2022-04-05 23:25:00+0000,2022-04-06 07:03:00+0000,69,312,71,6,452,,,,,,,,,
2022-04-06 22:57:00+0000,2022-04-07 07:15:00+0000,61,359,78,0,498,,,,,,,,,
2022-04-07 23:56:00+0000,2022-04-08 08:11:00+0000,38,337,119,1,494,,,,,,,,,
2022-04-09 02:11:00+0000,2022-04-09 08:22:00+0000,67,253,51,0,371,,,,,,,,,
2022-04-10 00:23:00+0000,2022-04-10 08:07:00+0000,84,284,96,0,464,,,,,,,,,
2022-04-10 22:59:00+0000,2022-04-11 08:40:00+0000,66,365,136,14,567,,,,,,,,,
2022-04-11 22:53:00+0000,2022-04-12 08:10:00+0000,68,374,115,0,557,,,,,,,,,
2022-04-12 22:47:00+0000,2022-04-13 05:53:00+0000,61,245,77,43,383,,,,,,,,,
2022-04-13 22:32:00+0000,2022-04-14 05:36:00+0000,86,236,90,12,412,,,,,,,,,
2022-04-13 22:00:00+0000,2022-04-13 22:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-04-15 21:46:00+0000,2022-04-16 07:17:00+0000,77,425,65,4,567,,,,,,,,,
2022-04-16 23:47:00+0000,2022-04-17 06:46:00+0000,68,289,61,1,418,,,,,,,,,
2022-04-17 23:58:00+0000,2022-04-18 09:06:00+0000,82,264,90,112,436,,,,,,,,,
2022-04-17 22:00:00+0000,2022-04-17 22:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-04-19 23:03:00+0000,2022-04-20 06:58:00+0000,54,310,109,2,473,,,,,,,,,
2022-04-20 22:36:00+0000,2022-04-21 05:32:00+0000,35,297,83,1,415,,,,,,,,,
2022-04-20 22:00:00+0000,2022-04-20 22:00:00+0000,0,0,0,0,0,,,,,,,,,
2022-04-22 23:28:00+0000,2022-04-23 07:00:00+0000,73,303,76,0,452,,,,,,,,,
2022-04-23 22:54:00+0000,2022-04-24 08:52:00+0000,91,401,89,17,581,,,,,,,,,
